date,value
2022-01-01,124.079
2022-02-01,127.868
2022-03-01,128.919
2022-04-01,127.126
2022-05-01,126.97
2022-06-01,126.619
2022-07-01,125.188
2022-08-01,127.328
2022-09-01,130.143
2022-10-01,129.414
2022-11-01,126.728
2022-12-01,124.587
2023-01-01,127.875
2023-02-01,132.039
2023-03-01,133.112
2023-04-01,131.762
2023-05-01,131.382
2023-06-01,130.51
2023-07-01,129.172
2023-08-01,131.262
2023-09-01,133.157
2023-10-01,132.786
2023-11-01,128.093
2023-12-01,125.794
2024-01-01,127.946
2024-02-01,131.985
2024-03-01,133.64
2024-04-01,133.502
2024-05-01,132.433
2024-06-01,131.525
2024-07-01,129.466
2024-08-01,131.683
2024-09-01,135.537
2024-10-01,133.179
2024-11-01,129.542
2024-12-01,127.354
2025-01-01,128.464
2025-02-01,132.774
2025-03-01,134.082
2025-04-01,132.544
2025-05-01,131.223
2025-06-01,130.844
2025-07-01,129.19
2025-08-01,131.989
2025-09-01,135.424
2025-10-01,
2025-11-01,129.763
2025-12-01,128.122
