date,open,high,low,close,adjusted close,volume,dividend amount
2022-01-31,234.3200,240.1400,200.7383,208.4800,193.2932,46948549,0.4200
2022-02-28,208.4200,210.2400,185.1500,198.3400,183.8919,38715715,0.0000
2022-03-31,199.5000,232.7700,198.6700,222.6300,206.4125,48473831,0.0000
2022-04-29,223.0900,262.2050,222.6300,237.5300,220.7624,37912350,0.5500
2022-05-31,238.5100,242.2800,183.2500,220.3400,204.7859,55729334,0.0000
2022-06-30,223.0500,251.2100,218.4005,245.4400,228.1140,38180591,0.0000
2022-07-29,243.2900,256.8000,239.3200,248.4300,231.4084,31441091,0.5500
2022-08-31,249.0700,259.6500,233.9700,237.4200,221.1528,36177402,0.0000
2022-09-30,237.3900,249.2200,234.9200,239.8600,223.4256,36647862,0.0000
2022-10-31,242.0000,261.5900,233.5085,255.0500,238.1050,34927869,0.5500
2022-11-30,255.0000,260.0700,242.0400,255.6800,238.6931,33320555,0.0000
2022-12-30,239.6600,250.8600,230.3300,246.2500,230.4031,50167461,0.5500
2023-01-31,247.7000,251.0000,220.0461,233.6000,218.5672,43055193,0.0000
2023-02-28,232.6000,237.1400,212.6900,216.3000,202.3805,35124592,0.0000
2023-03-31,214.3300,222.2100,201.3100,210.4600,196.9163,49424483,0.0000
2023-04-28,211.4200,222.9900,209.2800,221.4600,207.7724,30697298,0.5900
2023-05-31,221.2600,221.5000,200.1800,201.0900,188.6614,41577160,0.0000
2023-06-30,178.9200,179.2000,151.2700,169.7800,159.2865,107861265,0.0000
2023-07-31,169.7300,173.4700,160.9400,168.8600,158.9765,46246755,0.5900
2023-08-31,169.3300,170.4600,128.4800,138.5000,130.3935,63428091,0.0000
2023-09-29,136.5500,136.5900,103.2700,105.8000,99.6075,108508711,0.0000
2023-10-31,105.2200,122.5500,101.0900,119.0400,112.7103,95129898,0.5900
2023-11-30,119.1500,131.4500,116.0800,131.1200,124.1480,51195841,0.0000
2023-12-29,130.6700,139.7900,122.5000,135.9500,128.7212,69534593,0.0000
2024-01-31,136.7700,141.6600,128.7600,132.0700,125.5972,49338623,0.5900
2024-02-29,132.1200,146.5350,130.3200,145.3100,138.1883,40118672,0.0000
2024-03-28,144.3700,168.0700,143.8900,156.0600,148.4114,58212799,0.0000
2024-04-30,156.2300,164.1200,138.9600,139.1900,132.8665,43825146,0.5900
2024-05-31,138.7900,147.8650,126.2301,136.9100,130.6901,61962143,0.0000
2024-06-28,135.1800,141.2400,122.2100,132.2300,126.2227,53534512,0.0000
2024-07-31,131.9600,135.4600,115.9800,120.3900,115.4481,46347960,0.5900
2024-08-30,121.5500,126.9800,82.6800,82.9700,79.5641,107680421,0.0000
2024-09-30,83.0200,88.1000,77.9600,84.5700,81.0985,108404408,0.0000
2024-10-31,84.4400,85.0800,78.4500,80.0400,77.2964,93312908,0.5900
2024-11-29,80.5700,84.3900,72.1200,77.2700,74.6214,80984683,0.0000
2024-12-31,77.0000,84.7500,72.8100,75.8200,73.2211,89625217,0.0000
2025-01-31,76.3000,78.0400,66.4300,71.0600,69.1701,71543889,0.5900
2025-02-28,70.0900,79.8800,69.3200,74.1800,72.2071,63414662,0.0000
2025-03-31,73.5700,88.5000,70.0100,87.9300,85.5915,98459939,0.0000
2025-04-30,88.4800,97.8483,84.7000,93.6900,91.8118,107566822,0.5900
2025-05-30,93.1600,102.6900,86.2500,97.2500,95.3004,75218914,0.0000
2025-06-30,97.3000,115.1100,96.3600,114.3800,112.0870,80197025,0.0000
2025-07-31,114.2400,116.3000,104.5000,104.9000,103.3353,57246959,0.5900
2025-08-29,105.3200,117.9500,105.0600,108.7600,107.1377,66311657,0.0000
2025-09-30,109.7500,110.9300,99.9000,103.3500,101.8084,66687481,0.0000
2025-10-31,103.2600,108.3500,95.3410,98.6600,97.7834,65954639,0.5900
2025-11-28,98.3250,109.7800,95.1100,109.4900,108.5171,53663799,0.0000
2025-12-31,109.1500,139.8300,108.2800,132.7700,131.5903,101169742,0.0000
